"screen_name","text","favorite_count","retweet_count","date_time","category","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","scorerow"
"Julie82902847","@Searchingforth8 @8BrianVogel4 @Larry007Legend @davidf4444 @McginnKeven @side_show007 @PPPTCE @Duwayn55629746 @marvin_hill123 @xXGeJaMoXx @ForgottenSaint3 @KLHirst1 @TyDonevski @Larryputt @Vote_Trump @_Fat_Nixon @spiralwrap @MarlaHooch2 @thomascarolan12 @WattzzD @someotherperso3 @TC1776 @Fueldog1 @ruxcytbl @ClayMMA1 @KeecoWang5 @GemmaTorrent11 @MayorOfTwitr @wasthatholly @IHaveGodsFavor @StillFreeSCOTTY @Judge_Knot @SonOScrutinizer @jewls2245_gemma @Bobbitor1 @DennisH59386592 @vlotorto @watchit00 @FxAxMxBxA @lockrousseau @freedom_gal @seniorveteran @FFrankIII @chowskej @Kmanaman3 @Robotoid_Mike @Quin4Trump @JohnBillings16 @USApaTriot58 @YouTube Strongly dislike it but believe there are some exceptions in which taking the life of the unborn is the most humane choice (such as when the mother &amp; child will both die w/o medical intervention, for ex). But not the equivalent of a religious human sacrifice.",2,0,"Sun Jan 19 01:32 2020","other",2,4,2,2,4,5,2,5,7,9,42
"ansster","RT @AllenFrancesMD Cruel paradox:

We massively over-medicate worried well/mildly ill.

But shamefully neglect 600,000 suffering from severe psych disorders who are homeless or wrongly trapped in prisons.

We must finally get our priorities &amp; funding straight. Good care is humane/cost effective. https://t.co/DIdthQPngN",0,42,"Sun Nov 24 09:45 2019","other",4,3,5,5,2,6,2,3,7,4,41
"TheTinselQueen","@ByronMurphy8 @hargrump @nutrition_long @CarnivoreIs @H0ld3nCau1f13ld @fattycuts @Arachnocat14 @Veganella_ @Plantbiased @23Hyper23 @susanfoertsch @Engineer4Health @RP_Fit @DMDent @YoAtomic @BarryCPearson @PrimalAwakening @PersephoneKores @awright4645 @_life_imperfect @FiberCarb @gpse7en @VeganRecovering @julestw9 @EngineerDiet @The_Luci_One @amcgrath815 @PurestVitality @Rob05651385 @UrbanCavemanYYC @CarnivoreAntMan @djbonesmccoy @Bewyds @JordanHedberg @DaveTheHerbi @patrick_kuehner @MMBTycalibre @GrahamCD62 @wardslady @StickmanBleedin @ZeroCarbSarah @Sadrien_GW2 @farahelnashi @Wright_Doug @SBakerMD #VeganHeart Fooled myself for 20 years as a vegetarian for the animals until I was awakened to the horror of the animal slaughter and horrific cruelty towards mother cows and helpless chickens. Vegan since 2013 Never will I go back to being a part of hideous cruelty! https://t.co/jms2B5OFNS",11,4,"Wed Feb 19 16:33 2020","vegan",5,2,6,7,1,8,2,1,8,1,41
"samjrice7","RT @veggiesnottm Vegan pie sparks outrage after winning a top food award.
Leading chef brands it  “a disgrace”!

The Curried Sweet Potato, Butternut Squash &amp; Spinach Pie, made by butcher Jon Thorner was named 'Supreme Champion' at @BritishPies Awards in Melton Mowbray

https://t.co/aZTx0AGFz1? https://t.co/zddVLVN8Lt",0,7,"Sat Mar 09 18:53 2019","vegan",3,5,4,1,5,2,3,7,3,7,40
"MisterGreenwich","RT @Yummzy_Desserts Looking for a cosy, quiet, and romantic place to have your perfect date and enjoy delicious vegan, sugar-free, gluten-free and keto  desserts? Look no further! 

We promise the highest quality desserts, a big smile and outstanding service to make your visit enjoyable &amp; memorable! https://t.co/AFwxtZ2ZWz",0,1,"Mon Sep 02 19:21 2019","vegan",0,4,0,1,9,1,3,6,2,13,39
"_oatsnhoes","The animal liberation conference was LIFE CHANGING. I’m feeling so blessed to have been a part of the 2nd largest animal rights march in US history, and to bare witness to the rescue of 32 ducks from criminal abuse while nearly 100 activists got arrested for peaceful protest https://t.co/B1U0l0zJ5s",2,0,"Tue Jun 04 19:56 2019","eaa",3,4,3,3,5,2,4,4,3,6,37
"vj1106","@peta Be vegetarian ,just for human tongue  taste animals kid loss their mother ,father etc they  also have feeling , Every animals and human one day have to go from this World, let leave all happy and go from beautiful God created Earth happily 🙏🙏🙏🙏🙏",0,0,"Tue Jun 04 19:47 2019","vegan",2,4,1,3,6,4,2,5,4,6,37
"Bimbleur","RT @JoKingDevon @RuthTingay @lazerock @MarkAvery @ChrisGPackham @WildJustice_org It goes beyond the associated wildlife crime issue. It's a terrible waste of land, stolen biodiversity, climate damage, flood risk and mass cruelty to give very few people a quick thrill. It's not even hunting for food or culling for animal welfare. Its a sad sport",0,4,"Mon Sep 02 10:25 2019","cage-free",6,3,4,6,2,3,1,1,8,3,37
"Brendalcollins5","Excited to share the latest addition to my #etsy shop: TRICK OR TREAT, Bath Bomb, Horror BathBomb, Horror Character Bath Bomb, Vegan, Bath Bomb, Halloween ,Birthday , Self Care https://t.co/U2xuPelz2W #bathandbeauty #soap #brown #birthday #halloween #red #bathbombs #ho https://t.co/WIfPM7pfF6",0,0,"Mon Sep 02 17:01 2019","vegan",3,4,2,3,4,3,6,3,4,5,37
"ukule_lee","Things I would spend money on if I had any and didn't have student/medical debt to pay:

Finally complete starting up my business

Invest in every friend that has a business

Donate time and money to every public school, humane shelter, nursing facility

Buy more local art",3,0,"Sun Sep 22 13:46 2019","other",1,7,1,1,5,2,3,7,1,9,37
"Lydia_Canaan","RT @Lydia_Canaan Speciesism is like racism except it’s discriminating based on species. This is human supremacy! We think we’re superior to animals, we steal their children, forcibly impregnate them, stab, exploit, torture &amp; slaughter them in order to eat them &amp; use their skin as leather #vegan https://t.co/J60gYJP3uk",0,1,"Fri Oct 11 21:32 2019","vegan",6,2,3,6,1,4,3,1,7,3,36
"mattietwiggs","RT @davidsting414 Meet Erna,a rescued pig 🐷 after she escaped from slaughter &amp;had a difficult life 😖She’s suffering from renal failure but she’s healing &amp; enjoying life in a sanctuary. Look at her enjoying her daily apple with her friend🥰RT if you wish her speedy recovery #vegan #FridayFeeling https://t.co/5PMxJxPtbo",0,230,"Wed Jan 08 14:04 2020","vegan",1,4,4,5,4,3,1,4,4,6,36
"acrl_rfp","RT @ProPeace Africa's Brilliant Young People Rising to Bring LOVE, Hope and Unity to Our Planet Earth
Please Help Retweet
@wheelsofhoperis
https://t.co/u1D7bpRbkG

♥ ☮ ✌ 🌷 🌎
#Peace #love #Art #Music #rt #nct #BTS #got7 #jimin #jobs #food #news #vegan #food #Iheartawards",0,2,"Sat Feb 16 19:31 2019","vegan",0,6,0,0,9,2,3,5,0,10,35
"Blossomellotte","see fake self confident fake superior fake fortunate fake privileged then will take advantage of whatever to make themselves look good yet don't dare to be superior so only join in and make self look 'so humble humane good' hahahahah dishonest is not self confident, evil shrewd!",0,0,"Thu May 30 09:26 2019","other",2,2,3,1,3,3,1,5,4,11,35
"peta","@moon_djinn The Eid al-Fitr festivities marking the end of Ramadan present the perfect opportunity to put the philosophy of non-violence into practice by choosing to celebrate with vegan food, sparing countless animals extreme suffering and a painful death. https://t.co/lOs0M1BOpy",0,0,"Tue Jun 04 20:47 2019","vegan",3,4,3,4,3,4,2,3,4,5,35
"peta","@narjisxjaffry2 The Eid al-Fitr festivities marking the end of Ramadan present the perfect opportunity to put the philosophy of non-violence into practice by choosing to celebrate with vegan food, sparing countless animals extreme suffering and a painful death. https://t.co/lOs0M1BOpy",0,0,"Tue Jun 04 22:07 2019","vegan",3,4,3,4,3,4,2,3,4,5,35
"SaraOma90838727","RT @MamaForChange PuRe eViL 😪

i need you to hear me.
THIS • is why we fight so
hard, for Animal Rights.

this monster. mocking this beautiful, majestic, dying soul.

there is a special place,
in hell for her.

#banhunting #animalrights #animalwelfare #wildlife 
#bantrophyhunting #vegan #love 💛 https://t.co/uiO70vaVDb",0,391,"Wed Feb 05 19:58 2020","cage-free",5,1,4,5,4,4,1,1,6,4,35
"allanascloset","RT @LovUniverse #Animals are pure vibrational loving beings that deserve love! Respect them, we need them in our lives. #RespectAnimals #AnimalRights

#Save #Rescue #Adopt #Foster #Pledge a wonderful #Pet! 
Don't let innocence to be #killed with #taxpayers $$
Please #retweet Have a beautiful day https://t.co/ZguOdDLvwe",0,1,"Wed Oct 23 23:30 2019","eaa",1,3,0,0,8,0,2,8,1,11,34
"Nesquik1962","RT @RileyFarmRescue Join us December 14th at The Riley Farm Rescue for our first-ever Tree Lighting Ceremony!

Come meet the animals, enjoy some hot apple cider and vegan snacks, and feel the holiday cheer as we light the tree at the center of our new home!

$15 Suggested Donation https://t.co/WXk6xmamQv",0,2,"Mon Dec 09 19:00 2019","vegan",2,6,1,0,6,0,4,5,0,10,34
"LovUniverse","#Animals are pure vibrational loving beings that deserve love! Respect them, we need them in our lives. #RespectAnimals #AnimalRights

#Save #Rescue #Adopt #Foster #Pledge a wonderful #Pet! 
Don't let innocence to be #killed with #taxpayers $
Please #retweet Have a beautiful day https://t.co/t1fdlD0oN6",1,1,"Wed Feb 05 05:14 2020","eaa",1,3,0,0,8,0,2,8,1,11,34
"babygirrljess","@brandinickiii i need to try one of your vegan meals 🤗",0,0,"Wed Jan 08 16:32 2020","vegan",0,0,0,0,0,0,0,0,0,0,0
"original_annies","RT @fooddrinkguide Attempting #Veganuary this year? Head over to our blog to check out 10 of our favourite restaurants across the UK for #vegans and #vegetarians.

@vegfoodstudio @HendersonsofEdi @3BrosBurgers @the_barley_mow @original_annies @FoodforFriends @wahaca

https://t.co/rv0NHt2GQd",0,2,"Wed Jan 08 23:58 2020","vegan",0,0,0,0,0,0,0,0,0,0,0
"VeganUnplugged","Baked Spaghetti 🍝 w/Garlic Bread 🍞... 

#veganunplugged  #officiallyunplugged🔌 #Veganuary #Vegan #VeganFood https://t.co/C7AQtGPWjP",0,1,"Wed Jan 08 00:28 2020","vegan",0,0,0,0,0,0,0,0,0,0,0
"Lionsheadrock","@wagamama_uk @veganuary That’s me out",0,0,"Wed Jan 08 22:27 2020","vegan",0,0,0,0,0,0,0,0,0,0,0
"StarSuperfan42","@NOdogmeatNO @walker_vegan @MaryJoe38642126 @USRepMikeDoyle @HouseAgDems @HouseForeign Absolutely all Animals rights ALL !!!",2,1,"Wed Jan 08 19:05 2020","vegan",0,0,0,0,0,0,0,0,0,0,0
"angieAnh","Vegan today",0,0,"Wed Jan 08 19:10 2020","vegan",0,0,0,0,0,0,0,0,0,0,0
