"screen_name","text","favorite_count","retweet_count","date_time","category","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","scorerow"
"WhippedByTori_","Your ex died, I expect you to be at the funeral. Your ex is in the hospital, I expect you to send a text or maybe visit. Y’all gotta realize that not everyone hates their ex and some things are just simply humane for you to do. https://t.co/KyanHjCUkk",120490,31914,"Sun Nov 24 18:46 2019","other",0,1,0,1,0,2,1,2,0,3,10
"trashage","men in hardcore be like: uhh yeah dude i'm vegan straight edge cause i have a strict ethical code. anyways i'm off to threaten my girlfriend with a gun because she spoke to another man",13132,1711,"Sat Mar 09 16:10 2019","vegan",2,1,0,2,0,0,0,0,3,1,9
"rickygervais","Thanks for all the lovely tweets about #AfterLife still flooding in after all this time, and thanks even more for always supporting the animal welfare stuff I bother you with 🙏 https://t.co/FYVINAmxNY",9748,299,"Sun Jan 19 09:03 2020","cage-free",0,2,0,0,1,1,1,2,1,2,10
"attiretap","@TarisUnscripted The YouTuber @unnaturalvegan did a video on this called “this is what vegan privilege looks like”, discussing white upper middle class people being completely ignorant of their privilege in assuming everyone has the same resources as them to become vegan and I highly recommend it",7345,852,"Thu Aug 29 00:24 2019","vegan",0,1,1,0,2,0,0,3,1,4,12
"AubrianaMarie","VEGAN crispy Tex Mex egg-LESS rolls 🌿 filled with black beans, corn, red bell peppers, onions, mex seasoned chickUN with a side of avocado cilantro crema , topped with sour cream and cilantro 🔥 https://t.co/Mbz3tSZYDV",4525,680,"Mon Sep 02 00:02 2019","vegan",0,1,1,0,1,1,1,0,2,2,9
"dcexaminer","""There is nothing humane about the fact that children in Central America are being stolen, rented, trafficked.""

@RepMattGaetz tells Dems to save the ""lectures on humanity"" while children are being used as a ""fast pass"" to get into the US.

https://t.co/mjXdQGfyas https://t.co/QTHBdsa4kI",3676,1603,"Wed Jul 17 00:42 2019","other",1,0,0,0,2,0,0,3,1,3,10
"spcyhummus","my non vegan brother did a blind chicken wing taste test today to find the best wing in town. I snuck in a vegan wing from loving hut and IT WON FIRST PLACE! just goes to show that our vegan bias clouds our judgement sometimes :) he said it had the flavor 😭🥰💗",3060,244,"Sat Feb 16 23:22 2019","vegan",1,0,0,1,1,1,0,3,2,3,12
"ByDonkeys","American poultry farmers have to wash chicken in chlorine because animal welfare standards are so low it’s necessary to make it edible.
(Billboard location: Seafield Road, Edinburgh) https://t.co/6YmxUQ5qwj",3040,1424,"Sat Mar 09 13:46 2019","cage-free",0,0,0,1,0,0,0,0,0,0,1
"AbuYoshi","I respect vegans (I recently went vegan myself) but what you’re not gonna do is demonize Muslims for killing goats for FOOD that we keep in FREE RANGE farms for our Holiday.

 Eat your tofu and shut the fuck up. https://t.co/k8DNxp2jWE",2909,779,"Tue Jun 04 17:36 2019","cage-free",1,2,0,1,3,1,0,2,1,4,15
"BootstrapCook","I regret to inform the men in my mentions that vegan cheese exists and my midnight toastie isn't the gotcha you're all so desperate for. Now piss off, I have work to do.",2481,36,"Sun Jan 19 16:46 2020","vegan",0,0,0,0,0,1,0,1,2,0,4
"michaelharriot","The 1606 Virginia Charter explicitly stated that the colonists’ goal was “propagating of Christian religion to suche people as yet live in darkenesse and ... to bring the infidels and salvages living in those parts to humane civilitie and to a setled and quiet govermente.”",2082,212,"Sat Dec 28 02:02 2019","other",0,0,0,0,0,1,0,1,0,2,4
"thekillakay_","When your Vegan friend starts talking about Popeyes sandwiches 🤣🤣 THE GOVERNMENT CONTROLLING IT lmaoo https://t.co/wapTdFgaxg",1868,579,"Sun Aug 25 23:06 2019","vegan",0,0,0,1,1,0,0,1,1,1,5
"Stu__F","Quite ironic that whilst Brexit has divided the country it has united people.

I find myself on Twitter following, and agreeing with, Brexiteers from all walks for which I have no affinity - Gay, Trans, Vegan, Football fans, Dog lovers, the Welsh, Golfers, even ex Labour voters!!",1552,464,"Sat Sep 14 06:56 2019","vegan",0,1,0,0,1,0,0,2,0,3,7
"orrery_nim","Reason for the Yves ad repost: misspelled Vegan Tiger (as Vegan Tire)
🚙 https://t.co/uV9mbtdIG3",1422,210,"Sat Dec 28 08:46 2019","vegan",0,0,0,0,0,0,0,0,0,1,1
"albinwonderland","tonight for my honey’s birthday dinner I made vegetarian spaghetti and meatballs with squid ink pasta! 🖤 https://t.co/0gy6pMrZrV",1076,15,"Sat Nov 02 22:15 2019","vegan",0,1,0,0,1,0,1,0,0,3,6
"emmasdaisies","people who refuse to admit that vegan sweets taste good confuse me like.... is dairy paying your rent?",1030,113,"Mon Sep 02 17:21 2019","vegan",0,2,0,0,2,0,1,1,2,2,10
"kirstiealley","Im not a vegetarian .. yet...but seems I need to get more educated about the impact of deforestation on the planet due to animal Agriculture. Was so busy boycotting Monsanto poisons  I haven't taken the time to learn about this. Promise I'll study up https://t.co/0LQdrEKRbe",855,93,"Sun Aug 25 15:51 2019","vegan",0,1,0,0,1,0,0,2,0,6,10
"rickygervais","Join my friends at Mayhew International for an evening of food, wine tasting and presentations in support of their work to promote animal welfare overseas. https://t.co/VFH7Sf1gYR @themayhew https://t.co/e17C7UmHRQ",795,155,"Tue Oct 29 12:46 2019","cage-free",0,0,0,0,1,0,0,1,0,2,4
"DaileKelleher","If you want to have a positive impact on the planet you are better off eating a billionaire than becoming a vegan. https://t.co/et1Q91m1Hy",783,154,"Sun Nov 24 11:36 2019","vegan",0,0,0,0,0,0,0,0,0,0,0
"abbyandrewYT","Why do non vegan restaurants that offer a tofu option refuse to learn how to season tofu",694,87,"Mon Dec 09 01:18 2019","vegan",0,0,0,0,0,0,0,0,1,3,4
